S_m,S_p,ST,s,i
1.0,0.0,5.0,f1,0
5.0,0.0,25.0,b1,0
1.0,0.0,5.0,f1,1
5.0,0.0,25.0,b1,1
1.0,0.0,5.0,f1,2
5.0,0.0,25.0,b1,2
1.0,0.0,5.0,f1,3
5.0,0.0,25.0,b1,3
1.0,0.0,5.0,f1,4
5.0,0.0,25.0,b1,4
1.0,0.0,5.0,f1,5
5.0,0.0,25.0,b1,5
1.0,0.0,5.0,f1,6
5.0,0.0,25.0,b1,6
1.0,0.0,5.0,f1,7
5.0,0.0,25.0,b1,7
1.0,0.0,5.0,f1,8
5.0,0.0,25.0,b1,8
1.0,0.0,5.0,f1,9
5.0,0.0,25.0,b1,9
1.0,0.0,5.0,f1,10
5.0,0.0,25.0,b1,10
1.0,0.0,5.0,f1,11
5.0,0.0,25.0,b1,11
1.0,0.0,5.0,f1,12
5.0,0.0,25.0,b1,12
1.0,0.0,5.0,f1,13
5.0,0.0,25.0,b1,13
1.0,0.0,5.0,f1,14
5.0,0.0,25.0,b1,14
1.0,0.0,5.0,f1,15
5.0,0.0,25.0,b1,15
1.0,0.0,5.0,f1,16
5.0,0.0,25.0,b1,16
1.0,0.0,5.0,f1,17
5.0,0.0,25.0,b1,17
1.0,0.0,5.0,f1,18
5.0,0.0,25.0,b1,18
1.0,0.0,5.0,f1,19
5.0,0.0,25.0,b1,19
1.0,0.0,5.0,f1,20
5.0,0.0,25.0,b1,20
1.0,0.0,5.0,f1,21
5.0,0.0,25.0,b1,21
1.0,0.0,5.0,f1,22
5.0,0.0,25.0,b1,22
1.0,0.0,5.0,f1,23
5.0,0.0,25.0,b1,23
1.0,0.0,5.0,f1,24
5.0,0.0,25.0,b1,24
1.0,0.0,5.0,f1,25
5.0,0.0,25.0,b1,25
1.0,0.0,5.0,f1,26
5.0,0.0,25.0,b1,26
1.0,0.0,5.0,f1,27
5.0,0.0,25.0,b1,27
1.0,0.0,5.0,f1,28
5.0,0.0,25.0,b1,28
1.0,0.0,5.0,f1,29
5.0,0.0,25.0,b1,29
1.0,0.0,5.0,f1,30
5.0,0.0,25.0,b1,30
1.0,0.0,5.0,f1,31
5.0,0.0,25.0,b1,31
1.0,0.0,5.0,f1,32
5.0,0.0,25.0,b1,32
1.0,0.0,5.0,f1,33
5.0,0.0,25.0,b1,33
1.0,0.0,5.0,f1,34
5.0,0.0,25.0,b1,34
1.0,0.0,5.0,f1,35
5.0,0.0,25.0,b1,35
1.0,0.0,5.0,f1,36
5.0,0.0,25.0,b1,36
1.0,0.0,5.0,f1,37
5.0,0.0,25.0,b1,37
1.0,0.0,5.0,f1,38
5.0,0.0,25.0,b1,38
1.0,0.0,5.0,f1,39
5.0,0.0,25.0,b1,39
1.0,0.0,5.0,f1,40
5.0,0.0,25.0,b1,40
1.0,0.0,5.0,f1,41
5.0,0.0,25.0,b1,41
1.0,0.0,5.0,f1,42
5.0,0.0,25.0,b1,42
1.0,0.0,5.0,f1,43
5.0,0.0,25.0,b1,43
1.0,0.0,5.0,f1,44
5.0,0.0,25.0,b1,44
1.0,0.0,5.0,f1,45
5.0,0.0,25.0,b1,45
1.0,0.0,5.0,f1,46
5.0,0.0,25.0,b1,46
1.0,0.0,5.0,f1,47
5.0,0.0,25.0,b1,47
1.0,0.0,5.0,f1,48
5.0,0.0,25.0,b1,48
1.0,0.0,5.0,f1,49
5.0,0.0,25.0,b1,49
1.0,0.0,5.0,f1,50
5.0,0.0,25.0,b1,50
1.0,0.0,5.0,f1,51
5.0,0.0,25.0,b1,51
1.0,0.0,5.0,f1,52
5.0,0.0,25.0,b1,52
1.0,0.0,5.0,f1,53
5.0,0.0,25.0,b1,53
1.0,0.0,5.0,f1,54
5.0,0.0,25.0,b1,54
1.0,0.0,5.0,f1,55
5.0,0.0,25.0,b1,55
1.0,0.0,5.0,f1,56
5.0,0.0,25.0,b1,56
1.0,0.0,5.0,f1,57
5.0,0.0,25.0,b1,57
1.0,0.0,5.0,f1,58
5.0,0.0,25.0,b1,58
1.0,0.0,5.0,f1,59
5.0,0.0,25.0,b1,59
1.0,0.0,5.0,f1,60
5.0,0.0,25.0,b1,60
