S,p_ch,p_dc,i,s,t,Time
3.0,0.0,18.0,0,f1,1,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,2,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,3,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,4,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,5,2020-01-01 00:00
6.65833333333333,50.0,0.0,0,f1,6,2020-01-01 00:00
3.0,0.0,35.91,0,f1,7,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,8,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,9,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,10,2020-01-01 00:00
3.0,3.78947368421053,0.0,0,f1,11,2020-01-01 00:00
4.0,16.421052631579,0.0,0,f1,12,2020-01-01 00:00
20.2213257400802,0.0,57.0440911190379,0,b1,1,2020-01-01 00:00
20.2011044143401,0.0,0.0,0,b1,2,2020-01-01 00:00
20.1809033099258,0.0,0.0,0,b1,3,2020-01-01 00:00
20.1607224066158,0.0,0.0,0,b1,4,2020-01-01 00:00
20.1405616842092,0.0,0.0,0,b1,5,2020-01-01 00:00
20.120421122525,0.0,0.0,0,b1,6,2020-01-01 00:00
20.1003007014025,0.0,0.0,0,b1,7,2020-01-01 00:00
20.0802004007011,0.0,0.0,0,b1,8,2020-01-01 00:00
20.0601202003004,0.0,0.0,0,b1,9,2020-01-01 00:00
20.0400600801001,0.0,0.0,0,b1,10,2020-01-01 00:00
20.02002002002,0.0,0.0,0,b1,11,2020-01-01 00:00
20.0,0.0,0.0,0,b1,12,2020-01-01 00:00
3.0,3.78947368421052,0.0,1,f1,1,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,2,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,3,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,4,2020-01-01 00:05
6.65833333333333,50.0,0.0,1,f1,5,2020-01-01 00:05
3.0,0.0,35.91,1,f1,6,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,7,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,8,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,9,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,10,2020-01-01 00:05
3.0,3.78947368421053,0.0,1,f1,11,2020-01-01 00:05
4.0,16.421052631579,0.0,1,f1,12,2020-01-01 00:05
20.2011044143401,0.0,0.0,1,b1,1,2020-01-01 00:05
20.1809033099258,0.0,0.0,1,b1,2,2020-01-01 00:05
20.1607224066159,0.0,0.0,1,b1,3,2020-01-01 00:05
20.1405616842093,0.0,0.0,1,b1,4,2020-01-01 00:05
20.120421122525,0.0,0.0,1,b1,5,2020-01-01 00:05
20.1003007014025,0.0,0.0,1,b1,6,2020-01-01 00:05
20.0802004007011,0.0,0.0,1,b1,7,2020-01-01 00:05
20.0601202003004,0.0,0.0,1,b1,8,2020-01-01 00:05
20.0400600801001,0.0,0.0,1,b1,9,2020-01-01 00:05
20.02002002002,0.0,0.0,1,b1,10,2020-01-01 00:05
20.0,0.0,0.0,1,b1,11,2020-01-01 00:05
20.0,0.599999999999137,0.0,1,b1,12,2020-01-01 00:05
3.0,3.78947368421052,0.0,2,f1,1,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,2,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,3,2020-01-01 00:10
6.65833333333333,50.0,0.0,2,f1,4,2020-01-01 00:10
3.0,0.0,35.91,2,f1,5,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,6,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,7,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,8,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,9,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,10,2020-01-01 00:10
3.0,3.78947368421053,0.0,2,f1,11,2020-01-01 00:10
4.0,16.421052631579,0.0,2,f1,12,2020-01-01 00:10
20.1809033099258,0.0,0.0,2,b1,1,2020-01-01 00:10
20.1607224066158,0.0,0.0,2,b1,2,2020-01-01 00:10
20.1405616842092,0.0,0.0,2,b1,3,2020-01-01 00:10
20.120421122525,0.0,0.0,2,b1,4,2020-01-01 00:10
20.1003007014025,0.0,0.0,2,b1,5,2020-01-01 00:10
20.0802004007011,0.0,0.0,2,b1,6,2020-01-01 00:10
20.0601202003004,0.0,0.0,2,b1,7,2020-01-01 00:10
20.0400600801001,0.0,0.0,2,b1,8,2020-01-01 00:10
20.02002002002,0.0,0.0,2,b1,9,2020-01-01 00:10
20.0,0.0,0.0,2,b1,10,2020-01-01 00:10
19.98,0.0,0.0,2,b1,11,2020-01-01 00:10
20.0,1.19939999999947,0.0,2,b1,12,2020-01-01 00:10
3.0,3.78947368421052,0.0,3,f1,1,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,2,2020-01-01 00:15
6.65833333333333,50.0,0.0,3,f1,3,2020-01-01 00:15
3.0,0.0,35.91,3,f1,4,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,5,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,6,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,7,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,8,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,9,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,10,2020-01-01 00:15
3.0,3.78947368421053,0.0,3,f1,11,2020-01-01 00:15
4.0,16.421052631579,0.0,3,f1,12,2020-01-01 00:15
20.1607224066159,0.0,0.0,3,b1,1,2020-01-01 00:15
20.1405616842093,0.0,0.0,3,b1,2,2020-01-01 00:15
20.1204211225251,0.0,0.0,3,b1,3,2020-01-01 00:15
20.1003007014025,0.0,0.0,3,b1,4,2020-01-01 00:15
20.0802004007011,0.0,0.0,3,b1,5,2020-01-01 00:15
20.0601202003005,0.0,0.0,3,b1,6,2020-01-01 00:15
20.0400600801002,0.0,0.0,3,b1,7,2020-01-01 00:15
20.0200200200201,0.0,0.0,3,b1,8,2020-01-01 00:15
20.0,0.0,0.0,3,b1,9,2020-01-01 00:15
19.98,0.0,0.0,3,b1,10,2020-01-01 00:15
19.9600200000001,0.0,0.0,3,b1,11,2020-01-01 00:15
20.0,1.7982005999984,0.0,3,b1,12,2020-01-01 00:15
3.0,3.78947368421052,0.0,4,f1,1,2020-01-01 00:20
6.65833333333333,50.0,0.0,4,f1,2,2020-01-01 00:20
3.0,0.0,35.91,4,f1,3,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,4,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,5,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,6,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,7,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,8,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,9,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,10,2020-01-01 00:20
3.0,3.78947368421053,0.0,4,f1,11,2020-01-01 00:20
4.0,16.421052631579,0.0,4,f1,12,2020-01-01 00:20
20.1405616842093,0.0,0.0,4,b1,1,2020-01-01 00:20
20.1204211225251,0.0,0.0,4,b1,2,2020-01-01 00:20
20.1003007014026,0.0,0.0,4,b1,3,2020-01-01 00:20
20.0802004007012,0.0,0.0,4,b1,4,2020-01-01 00:20
20.0601202003005,0.0,0.0,4,b1,5,2020-01-01 00:20
20.0400600801002,0.0,0.0,4,b1,6,2020-01-01 00:20
20.0200200200201,0.0,0.0,4,b1,7,2020-01-01 00:20
20.0000000000001,0.0,0.0,4,b1,8,2020-01-01 00:20
19.9800000000001,0.0,0.0,4,b1,9,2020-01-01 00:20
19.9600200000001,0.0,0.0,4,b1,10,2020-01-01 00:20
19.9400599800001,0.0,0.0,4,b1,11,2020-01-01 00:20
20.0,2.39640239939777,0.0,4,b1,12,2020-01-01 00:20
6.65833333333333,50.0,0.0,5,f1,1,2020-01-01 00:25
3.0,0.0,35.91,5,f1,2,2020-01-01 00:25
