S,p_ch,p_dc,i,s,t,Time
0.0,0.0,57.4994717176289,0,f1,1,2020-01-01 00:00
24.9979157111951,0.0,0.0,0,b1,1,2020-01-01 00:00
0.0,-0.0,0.0,1,f1,1,2020-01-01 00:05
24.9958315961605,0.0,0.0,1,b1,1,2020-01-01 00:05
0.0,-0.0,0.0,2,f1,1,2020-01-01 00:10
24.9937476548819,0.0,0.0,2,b1,1,2020-01-01 00:10
0.0,-0.0,0.0,3,f1,1,2020-01-01 00:15
24.9916638873447,0.0,0.0,3,b1,1,2020-01-01 00:15
0.0,-0.0,0.0,4,f1,1,2020-01-01 00:20
24.9895802935344,0.0,0.0,4,b1,1,2020-01-01 00:20
3.95833333333333,50.0,0.0,5,f1,1,2020-01-01 00:25
24.9874968734366,0.0,0.0,5,b1,1,2020-01-01 00:25
0.0,0.0,45.5204151097895,6,f1,1,2020-01-01 00:30
21.686685909948,0.0,39.5847326050654,6,b1,1,2020-01-01 00:30
0.0,-0.0,0.0,7,f1,1,2020-01-01 00:35
21.6848778572817,0.0,0.0,7,b1,1,2020-01-01 00:35
0.0,-0.0,0.0,8,f1,1,2020-01-01 00:40
21.6830699553555,0.0,0.0,8,b1,1,2020-01-01 00:40
0.0,-0.0,0.0,9,f1,1,2020-01-01 00:45
21.6812622041569,0.0,0.0,9,b1,1,2020-01-01 00:45
0.0,-0.0,0.0,10,f1,1,2020-01-01 00:50
21.6794546036733,0.0,0.0,10,b1,1,2020-01-01 00:50
0.0,-0.0,0.0,11,f1,1,2020-01-01 00:55
21.6776471538922,0.0,0.0,11,b1,1,2020-01-01 00:55
0.0,-0.0,0.0,12,f1,1,2020-01-01 01:00
21.675839854801,0.0,0.0,12,b1,1,2020-01-01 01:00
0.0,-0.0,0.0,13,f1,1,2020-01-01 01:05
21.6740327063871,0.0,0.0,13,b1,1,2020-01-01 01:05
0.0,-0.0,0.0,14,f1,1,2020-01-01 01:10
21.672225708638,0.0,0.0,14,b1,1,2020-01-01 01:10
0.0,-0.0,0.0,15,f1,1,2020-01-01 01:15
21.6704188615411,0.0,0.0,15,b1,1,2020-01-01 01:15
3.95833333333333,50.0,0.0,16,f1,1,2020-01-01 01:20
23.3352788317505,50.0000000000001,0.0,16,b1,1,2020-01-01 01:20
