S,p_ch,p_dc,i,s,t,Time
24.975,0.0,0.0,0,b1,1,2020-01-01 00:00
24.950025,0.0,0.0,0,b1,2,2020-01-01 00:00
24.925074975,0.0,0.0,0,b1,3,2020-01-01 00:00
24.900149900025,0.0,0.0,0,b1,4,2020-01-01 00:00
24.3197575592643,0.0,6.66590631699185,0,b1,5,2020-01-01 00:00
23.462104471705,0.0,10.0,0,b1,6,2020-01-01 00:00
22.6053090372333,0.0,10.0,0,b1,7,2020-01-01 00:00
21.7493703981961,0.0,10.0,0,b1,8,2020-01-01 00:00
20.8942876977979,0.0,10.0,0,b1,9,2020-01-01 00:00
20.0400600801001,0.0,10.0,0,b1,10,2020-01-01 00:00
20.02002002002,0.0,0.0,0,b1,11,2020-01-01 00:00
20.0,0.0,0.0,0,b1,12,2020-01-01 00:00
4.11666667,0.0,10.0,0,f1,1,2020-01-01 00:00
3.2421666733,0.0,10.0,0,f1,2,2020-01-01 00:00
2.376411676567,0.0,10.0,0,f1,3,2020-01-01 00:00
1.51931422980133,0.0,10.0,0,f1,4,2020-01-01 00:00
1.226279948364,0.0,3.33409368300815,0,f1,5,2020-01-01 00:00
1.21401714888036,0.0,0.0,0,f1,6,2020-01-01 00:00
1.20187697739156,0.0,0.0,0,f1,7,2020-01-01 00:00
1.18985820761764,0.0,0.0,0,f1,8,2020-01-01 00:00
1.17795962554146,0.0,0.0,0,f1,9,2020-01-01 00:00
1.33113866011725,2.08368797672884,0.0,0,f1,10,2020-01-01 00:00
2.27445256784727,12.0836879767288,0.0,0,f1,11,2020-01-01 00:00
4.0,22.0836879767288,0.0,0,f1,12,2020-01-01 00:00
24.950025,0.0,0.0,1,b1,1,2020-01-01 00:05
24.925074975,0.0,0.0,1,b1,2,2020-01-01 00:05
24.900149900025,0.0,0.0,1,b1,3,2020-01-01 00:05
24.5050171519431,0.0,4.44279119595398,1,b1,4,2020-01-01 00:05
23.6471788047911,0.0,10.0,1,b1,5,2020-01-01 00:05
23.6235316259864,0.0,0.0,1,b1,6,2020-01-01 00:05
23.5999080943604,0.0,0.0,1,b1,7,2020-01-01 00:05
23.576308186266,0.0,0.0,1,b1,8,2020-01-01 00:05
23.5527318780798,0.0,0.0,1,b1,9,2020-01-01 00:05
23.2011920482933,0.0,3.93584519064357,1,b1,10,2020-01-01 00:05
22.0166704283367,0.0,13.9358451906436,1,b1,11,2020-01-01 00:05
20.0,0.0,23.9358451906436,1,b1,12,2020-01-01 00:05
3.2421666733,0.0,10.0,1,f1,1,2020-01-01 00:05
2.376411676567,0.0,10.0,1,f1,2,2020-01-01 00:05
1.51931422980133,0.0,10.0,1,f1,3,2020-01-01 00:05
1.04102035568522,0.0,5.55720880404602,1,f1,4,2020-01-01 00:05
1.03061015212837,0.0,0.0,1,f1,5,2020-01-01 00:05
1.02030405060708,0.0,0.0,1,f1,6,2020-01-01 00:05
1.01010101010101,0.0,0.0,1,f1,7,2020-01-01 00:05
1.0,0.0,0.0,1,f1,8,2020-01-01 00:05
1.02690196593641,0.466130097903441,0.0,1,f1,9,2020-01-01 00:05
1.84520157571346,10.4661300979034,0.0,1,f1,10,2020-01-01 00:05
3.32583729821926,18.9358451906436,0.0,1,f1,11,2020-01-01 00:05
4.0,8.93584519064357,0.0,1,f1,12,2020-01-01 00:05
24.925074975,0.0,0.0,2,b1,1,2020-01-01 00:10
24.900149900025,0.0,0.0,2,b1,2,2020-01-01 00:10
24.7064975828193,0.0,2.0250260157678,2,b1,3,2020-01-01 00:10
24.6817910852365,0.0,0.0,2,b1,4,2020-01-01 00:10
24.6571092941513,0.0,0.0,2,b1,5,2020-01-01 00:10
24.6324521848571,0.0,0.0,2,b1,6,2020-01-01 00:10
24.6078197326723,0.0,0.0,2,b1,7,2020-01-01 00:10
24.5832119129396,0.0,0.0,2,b1,8,2020-01-01 00:10
24.5586287010267,0.0,0.0,2,b1,9,2020-01-01 00:10
23.8714544076725,0.0,7.95138800764308,2,b1,10,2020-01-01 00:10
22.3516339586117,0.0,17.9513880076431,2,b1,11,2020-01-01 00:10
20.0,0.0,27.9513880076431,2,b1,12,2020-01-01 00:10
2.376411676567,0.0,10.0,2,f1,1,2020-01-01 00:10
1.51931422980133,0.0,10.0,2,f1,2,2020-01-01 00:10
1.04102035568522,0.0,5.55720880404602,2,f1,3,2020-01-01 00:10
1.03061015212837,0.0,0.0,2,f1,4,2020-01-01 00:10
1.02030405060708,0.0,0.0,2,f1,5,2020-01-01 00:10
1.01010101010101,0.0,0.0,2,f1,6,2020-01-01 00:10
1.0,0.0,0.0,2,f1,7,2020-01-01 00:10
1.0,0.126315789978947,0.0,2,f1,8,2020-01-01 00:10
