S,p_ch,p_dc,i,s,t,Time
24.975,0.0,0.0,0,b1,1,2020-01-01 00:00
4.11666667,0.0,10.0,0,f1,1,2020-01-01 00:00
24.950025,0.0,0.0,1,b1,1,2020-01-01 00:05
3.2421666733,0.0,10.0,1,f1,1,2020-01-01 00:05
24.925074975,0.0,0.0,2,b1,1,2020-01-01 00:10
2.376411676567,0.0,10.0,2,f1,1,2020-01-01 00:10
24.900149900025,0.0,0.0,3,b1,1,2020-01-01 00:15
1.51931422980133,0.0,10.0,3,f1,1,2020-01-01 00:15
24.5050171519431,0.0,4.44279119595398,4,b1,1,2020-01-01 00:20
1.04102035568522,0.0,5.55720880404602,4,f1,1,2020-01-01 00:20
23.6471788047912,0.0,10.0,5,b1,1,2020-01-01 00:25
1.03061015212837,0.0,0.0,5,f1,1,2020-01-01 00:25
23.5764084668311,0.0,0.565477912125115,6,b1,1,2020-01-01 00:30
1.02030405060709,0.0,0.0,6,f1,1,2020-01-01 00:30
23.5528320583643,0.0,0.0,7,b1,1,2020-01-01 00:35
1.01010101010102,0.0,0.0,7,f1,1,2020-01-01 00:35
23.5292792263059,0.0,0.0,8,b1,1,2020-01-01 00:40
1.0,-1.23270849172513e-13,0.0,8,f1,1,2020-01-01 00:40
23.5057499470796,0.0,0.0,9,b1,1,2020-01-01 00:45
1.0,0.126315789978948,0.0,9,f1,1,2020-01-01 00:45
23.4822441971325,0.0,0.0,10,b1,1,2020-01-01 00:50
1.0,0.126315789978948,0.0,10,f1,1,2020-01-01 00:50
23.0420952879354,0.0,5.0,11,b1,1,2020-01-01 00:55
1.02030405060708,0.382788009199546,0.0,11,f1,1,2020-01-01 00:55
21.7690531976475,0.0,15.0,12,b1,1,2020-01-01 01:00
1.01010101010101,0.0,0.0,12,f1,1,2020-01-01 01:00
20.4972841494499,0.0,15.0,13,b1,1,2020-01-01 01:05
1.0,0.0,-2.54581101551928e-15,13,f1,1,2020-01-01 01:05
20.0601202003005,0.0,5.0,14,b1,1,2020-01-01 01:10
1.0,0.126315789978948,0.0,14,f1,1,2020-01-01 01:10
20.0400600801002,0.0,0.0,15,b1,1,2020-01-01 01:15
1.0,0.126315789978948,0.0,15,f1,1,2020-01-01 01:15
20.0200200200201,0.0,0.0,16,b1,1,2020-01-01 01:20
1.0,0.126315789978948,0.0,16,f1,1,2020-01-01 01:20
20.0000000000001,0.0,0.0,17,b1,1,2020-01-01 01:25
1.0,0.126315789978948,0.0,17,f1,1,2020-01-01 01:25
19.9800000000001,0.0,0.0,18,b1,1,2020-01-01 01:30
1.0,0.126315789978948,0.0,18,f1,1,2020-01-01 01:30
19.9600200000001,0.0,0.0,19,b1,1,2020-01-01 01:35
1.0,0.126315789978948,0.0,19,f1,1,2020-01-01 01:35
19.9400599800001,0.0,0.0,20,b1,1,2020-01-01 01:40
1.0,0.126315789978948,0.0,20,f1,1,2020-01-01 01:40
19.9201199200201,0.0,0.0,21,b1,1,2020-01-01 01:45
1.0,0.126315789978948,0.0,21,f1,1,2020-01-01 01:45
19.9001998001001,0.0,0.0,22,b1,1,2020-01-01 01:50
1.0,0.126315789978948,0.0,22,f1,1,2020-01-01 01:50
19.4636329353,0.0,5.0,23,b1,1,2020-01-01 01:55
1.02030405060708,0.382788009199545,0.0,23,f1,1,2020-01-01 01:55
18.1941693073647,0.0,15.0,24,b1,1,2020-01-01 02:00
1.01010101010101,0.0,-5.84784025273115e-16,24,f1,1,2020-01-01 02:00
16.9259751430573,0.0,15.0,25,b1,1,2020-01-01 02:05
1.0,0.0,-2.54581101551928e-15,25,f1,1,2020-01-01 02:05
16.4923825029142,0.0,5.0,26,b1,1,2020-01-01 02:10
1.0,0.126315789978948,0.0,26,f1,1,2020-01-01 02:10
16.4758901204113,0.0,0.0,27,b1,1,2020-01-01 02:15
1.0,0.126315789978948,0.0,27,f1,1,2020-01-01 02:15
16.4594142302909,0.0,0.0,28,b1,1,2020-01-01 02:20
1.0,0.126315789978948,0.0,28,f1,1,2020-01-01 02:20
16.4429548160606,0.0,0.0,29,b1,1,2020-01-01 02:25
1.0,0.126315789978948,0.0,29,f1,1,2020-01-01 02:25
16.4265118612445,0.0,0.0,30,b1,1,2020-01-01 02:30
1.0,0.126315789978948,0.0,30,f1,1,2020-01-01 02:30
16.4100853493833,0.0,0.0,31,b1,1,2020-01-01 02:35
1.0,0.126315789978948,0.0,31,f1,1,2020-01-01 02:35
16.3936752640339,0.0,0.0,32,b1,1,2020-01-01 02:40
1.0,0.126315789978948,0.0,32,f1,1,2020-01-01 02:40
16.3772815887699,0.0,0.0,33,b1,1,2020-01-01 02:45
1.0,0.126315789978948,0.0,33,f1,1,2020-01-01 02:45
16.3609043071811,0.0,0.0,34,b1,1,2020-01-01 02:50
1.0,0.126315789978948,0.0,34,f1,1,2020-01-01 02:50
16.0994168396889,0.0,2.94151876998569,35,b1,1,2020-01-01 02:55
1.61870356677572,7.94151876998569,0.0,35,f1,1,2020-01-01 02:55
15.0048575296642,0.0,12.9415187699857,36,b1,1,2020-01-01 03:00
1.43097642929293,0.0,2.05848123001431,36,f1,1,2020-01-01 03:00
14.1565193421345,0.0,10.0,37,b1,1,2020-01-01 03:05
1.0,0.0,5.0,37,f1,1,2020-01-01 03:05
14.1423628227924,0.0,6.60706013059625e-29,38,b1,1,2020-01-01 03:10
1.0,0.126315789978948,0.0,38,f1,1,2020-01-01 03:10
14.1282204599696,0.0,0.0,39,b1,1,2020-01-01 03:15
1.0,0.126315789978948,0.0,39,f1,1,2020-01-01 03:15
14.1140922395096,0.0,0.0,40,b1,1,2020-01-01 03:20
1.0,0.126315789978948,0.0,40,f1,1,2020-01-01 03:20
14.0999781472701,0.0,0.0,41,b1,1,2020-01-01 03:25
1.0,0.126315789978948,0.0,41,f1,1,2020-01-01 03:25
14.0858781691228,0.0,0.0,42,b1,1,2020-01-01 03:30
1.0,0.126315789978948,0.0,42,f1,1,2020-01-01 03:30
14.0717922909537,0.0,0.0,43,b1,1,2020-01-01 03:35
1.0,0.126315789978948,0.0,43,f1,1,2020-01-01 03:35
14.0577204986627,0.0,0.0,44,b1,1,2020-01-01 03:40
1.0,0.126315789978948,0.0,44,f1,1,2020-01-01 03:40
14.043662778164,0.0,0.0,45,b1,1,2020-01-01 03:45
1.0,0.126315789978948,0.0,45,f1,1,2020-01-01 03:45
14.0296191153858,0.0,0.0,46,b1,1,2020-01-01 03:50
1.0,0.126315789978948,0.0,46,f1,1,2020-01-01 03:50
13.7704629330854,0.0,2.94151876998569,47,b1,1,2020-01-01 03:55
1.61870356677572,7.94151876998569,0.0,47,f1,1,2020-01-01 03:55
12.6782325769673,0.0,12.9415187699857,48,b1,1,2020-01-01 04:00
1.43097642929293,0.0,2.05848123001431,48,f1,1,2020-01-01 04:00
11.8322210143903,0.0,10.0,49,b1,1,2020-01-01 04:05
1.0,0.0,5.0,49,f1,1,2020-01-01 04:05
11.8203887933759,0.0,-2.27576515609426e-29,50,b1,1,2020-01-01 04:10
1.0,0.126315789978948,0.0,50,f1,1,2020-01-01 04:10
11.8085684045825,0.0,0.0,51,b1,1,2020-01-01 04:15
1.0,0.126315789978948,0.0,51,f1,1,2020-01-01 04:15
11.7967598361779,0.0,0.0,52,b1,1,2020-01-01 04:20
1.0,0.126315789978948,0.0,52,f1,1,2020-01-01 04:20
11.7849630763417,0.0,0.0,53,b1,1,2020-01-01 04:25
1.0,0.126315789978948,0.0,53,f1,1,2020-01-01 04:25
11.7731781132654,0.0,0.0,54,b1,1,2020-01-01 04:30
1.0,0.126315789978948,0.0,54,f1,1,2020-01-01 04:30
11.7614049351521,0.0,0.0,55,b1,1,2020-01-01 04:35
1.0,0.126315789978948,0.0,55,f1,1,2020-01-01 04:35
11.749643530217,0.0,0.0,56,b1,1,2020-01-01 04:40
1.0,0.126315789978948,0.0,56,f1,1,2020-01-01 04:40
11.7378938866868,0.0,0.0,57,b1,1,2020-01-01 04:45
1.0,0.126315789978948,0.0,57,f1,1,2020-01-01 04:45
11.7261559928001,0.0,0.0,58,b1,1,2020-01-01 04:50
1.0,0.126315789978948,0.0,58,f1,1,2020-01-01 04:50
11.7144298368073,0.0,0.0,59,b1,1,2020-01-01 04:55
1.0,0.126315789978948,0.0,59,f1,1,2020-01-01 04:55
11.7027154069705,0.0,0.0,60,b1,1,2020-01-01 05:00
1.0,0.126315789978948,0.0,60,f1,1,2020-01-01 05:00
